Module,Module Theme (This will be broken into submodules and only submodules name would be there),Duration (months),Duration (Weeks),Core/ Elective/ Optional,Sub module name (Will reflect on learners dashboard),Why learn this,Topics Covered,For design team,,,
Module 1,Data Foundations,1,4 weeks,Core,Data Foundations,"Mastering data analysis and visualization using NumPy, Pandas, and foundational probability equips you to explore, clean, and interpret data effectively—skills that are essential for any data-driven role in today’s AI-powered world.",Numpy / Pandas,,,,
,,,,,,,Data frames,,,,
,,,,,,,EDA,,,,
,,,,,,,Data Plotting and visualisation basics,,,,
,,,,,,,Probability Foundations,,,,
Module 2,"ML Coding (Applied AI-ML)
",5,6 weeks,Core,ML Coding:  Supervised Learning,"Master the two pillars of machine learning—regression and classification. From predicting prices and trends to detecting spam and diagnosing diseases, you’ll learn to build accurate, production-ready models using foundational, ensemble, and scikit-learn pipeline techniques—skills that are essential for real-world ML systems and top interview performance.","Linear Regression, regression metrics and Sklearn pipelines",Topics to pick up,,,
,,,,,,,Logistic Regression,Machine Learning,,,
,,,,,,,Classification Metrics,Deep Learning,,,
,,,,,,,KNN,Open CV,,,
,,,,,,,Decision Trees,NLP,,,
,,,,,,,Bagging & Boosting,,,,
,,,,,,,Naive Bayes,,,,
,,,4 weeks,Core,"ML Coding: Unsupervised Learning, Time series & Recommender Systems","Unsupervised learning, time series forecasting, and recommendation systems unlock the ability to uncover hidden patterns, detect anomalies, predict future trends, and deliver personalized experiences. From customer segmentation and fraud detection to sales forecasting and product recommendations, you’ll learn techniques that power real-world applications in finance, e-commerce, and product analytics—giving you a strong edge in both exploratory and AI-driven tasks.",Clustering,,,,
,,,,,,,"Anomlay Detection, GMM",,,,
,,,,,,,Dimensionality Reduction,,,,
,,,,,,,Time series pre-processing and decomopisiton,,,,
,,,,,,,Time series analysis,,,,
,,,,,,,Collobrative filtering & ARM,,,,
,,,,,,,Content based filtering,,,,
,,,3 weeks,Core,MLCoding: Neural Networks,Neural networks form the foundation of modern AI—from image recognition to language models. Learning how to build and optimize them helps you unlock the power of deep learning and prepares you for cutting-edge roles in tech and AI.,"Neural Networks, Optimizers, Loss function, activation functions, weight intialization, regularization",,,,
,,,7 weeks,Core,MLCoding: Computer Vision and Natural Language Processing,"Computer vision and natural language processing (NLP) are transforming how machines perceive and interact with the world—from facial recognition and medical imaging to chatbots, search engines, and large language models like GPT. In this module, you’ll master practical deep learning techniques and tools to build advanced vision systems and intelligent, language-aware applications—empowering you to solve complex, real-world problems at the cutting edge of AI.",OpenCV,,,,
,,,,,,,"Applied Deep Learning (CNNs, LSTM, GRU, Autoencoders, etc)",,,,
,,,,,,,Transfer Learning,,,,
,,,,,,,"Advance Computer Vision - Image gen, Face detection / recognition, segmentation",,,,
,,,,,,,"Text Pre-Processing (NLTK/spaCy), topic modelling, Sentiment Analysis",,,,
,,,,,,,"LSTM, RNN, Attention",,,,
,,,,,,,Advanced NLP - Transformers / GPT,,,,
,ML & Gen AI Engineering,7,8 weeks,Core,MLOPS,"MLOps bridges the gap between model development and real-world deployment—ensuring your ML solutions are scalable, reproducible, and reliable. This module teaches you how to productionize ML with tools like Docker, MLflow, and AWS SageMaker, making you industry-ready for end-to-end AI systems.",ML lifecycle,,,,
,,,,,,,CI/CD pipelines,,,,
,,,,,,,Feature Stores for ML,,,,
,,,,,,,Serving ML Models,,,,
,,,,,,,"ML Monitoring, Experiment tracking, ML flow, Docker, Optuna",,,,
,,,,,,,AWS Sagemaker,,,,
,,,4 weeks,Core,System Design,"Knowing how to build scalable, efficient, and cost-effective ML systems is crucial for delivering real-world AI products. This module equips you with the fundamentals of ML system design, microservices, and architectural patterns—skills highly valued in top tech roles.",ML System Design fundamentals,,,,
,,,,,,,Microservices,,,,
,,,,,,,Design Patterns,,,,
,,,,,,,Scalability and Cost,,,,
Module 3,,,4 weeks,Core,Foundations of AI Engineering & RAG Systems,"Moving beyond basic APIs, this module teaches you to build robust, hallucination-free AI apps grounded in proprietary enterprise data. Mastering asynchronous Python, data validation, and Retrieval-Augmented Generation (RAG) prepares you to deliver reliable, production-grade AI solutions for scaling tech businesses.","Prompt Engineering, Jailbreaks, and Guardrails",,,,
,,,,,,,"RAG Systems, Vector Databases, and Embeddings",,,,
,,,4 Weeks,Core,Agentic Design Patterns & Multi-Agent Orchestration,"Static chatbots are obsolete; autonomous AI workers are the industry standard. You will learn to design intelligent, multi-agent swarms using frameworks like LangGraph, CrewAI, and Microsoft Autogen that can reason, plan, use web tools, and independently execute complex workflows.","LangChain, LangGraph",,,,
,,,,,,,"Memory Systems (Short-term, Long-term, Episodic), ",,,,
,,,3 Weeks,Core,Advanced Cognitive Architectures & Multimodal Intelligence,"Real-world business data is messy and diverse. This module equips you to process complex financial PDFs, vision, and real-time audio. By mastering advanced techniques like GraphRAG and algorithmic prompt optimization with DSPy, you can build sophisticated, multimodal AI architectures that solve complex operational challenges.","Agentic RAG, GraphRAG",,,,
,,,,,,,"Multimodal AI (Vision with GPT-4V/LLaVA, Audio with Whisper)",,,,
,,,5 Weeks,Core,"Fine tuning, LLMOPS and Security","Scaling AI securely and cost-effectively is the ultimate engineering hurdle. You will learn to fine-tune open-source models using LoRA to cut dependency on expensive APIs, serve them efficiently with vLLM, and deploy them on Kubernetes with strict enterprise security guardrails.",Parameter-Efficient Fine-Tuning (PEFT) & LoRA,,,,
,,,,,,,"Serving LLMs (vLLM, TGI, Quantization) and Token Economics, LLMOPS",,,,
Module 4,"Advanced ML, Advanced Deep Learning, Advanced NLP",2,4 weeks," Elective (Learners will have the option to continue in the course. If they wish to gain deeper understanding, they can choose to pursue further.)",Advanced Machine Learning and Deep Learning 1,"A deep mathematical grasp of probability, statistics, optimization, and ML theory lets you go beyond simply using tools—enabling you to debug, improve, and innovate models from first principles. By mastering the mathematical foundations of core algorithms and statistical learning theory, you’ll sharpen your ability to analyze model behavior, derive algorithms from scratch, and tackle complex ML problems—skills that are invaluable for research roles and success in advanced ML interviews.",Prob and Stats,,,,Case Studies
,,,,,,,Math for ML,,,,
,,,,,,,"Optimisation Theory, Loss Functions",,,,
,,,,,,,Linear Models,,,,
,,,,,,,Logistic Regression,,,,
,,,,,,,Decision Tree and Forests,,,,
,,,,,,,Support Vector Machines,,,,
,,,,,,,Clustering,,,,
,,,,,,,Dimensionality Reduction,,,,
,,,,,,,Statistical Learning Theory,,,,
,,,4 weeks,,Advanced Machine Learning and Deep Learning 2,"Diving deep into the mathematics and inner workings of neural networks—from backpropagation to interpretability—equips you to debug, fine-tune, and trust deep learning models at a fundamental level. You’ll also explore the theory behind transformers and attention mechanisms, the backbone of modern NLP models like BERT and GPT, enabling you to build, optimize, and innovate state-of-the-art language systems for both real-world impact and research-grade applications.",Neural Networks,,,,
,,,,,,,Model Interpretability,,,,
,,,,,,,Backpropagation,,,,
,,,,,,,Advanced NLP - Transformers / GPT,,,,
,,,,,,,Attention Mechanisms,,,,
,DSA,4-6,~6 months,Optional,DSA for Professionals,Strong DSA skills are the foundation of efficient problem-solving and are critical for cracking technical interviews at top companies. This module builds your algorithmic thinking and coding proficiency—enabling you to design optimal solutions across a wide range of real-world and interview problems.,Time and Space Complexity Analysis,,,,
,,,,,,,"Array Problem Solving Patterns (Prefix, Sliding Windows, Subarrays, Subsets, Subsequences)",,,,
,,,,,,,Bit Manipulation,,,,
,,,,,,,Maths for Problem Solving,,,,
,,,,,,,Recursion,,,,
,,,,,,,Backtracking,,,,
,,,,,,,Sorting,,,,
,,,,,,,Searching (Binary Search),,,,
,,,,,,,Two Pointers,,,,
,,,,,,,Hashing,,,,
,,,,,,,"String Problem Solving Patterns, String Pattern Matching",,,,
,,,,,,,Linked Lists,,,,
,,,,,,,Stacks,,,,
,,,,,,,Queues and Deques,,,,
,,,,,,,Trees and BST,,,,
,,,,,,,Tries,,,,
,,,,,,,Heaps,,,,
,,,,,,,Greedy,,,,
,,,,,,,Dynamic Programming,,,,
,,,,,,,Graphs,,,,
Module 5,"Advanced AI Engineering by CEC, IIT Roorkee",,,,,,Campus Immersion,,,,
,,,,,,,AI in Healthcare,,,,
,,,,,,,LLMs for Productivity in Job,,,,
,Big data (Recorded),1,"4 weeks

",Elective,,"Learn how to process and analyze massive datasets using Hadoop and Apache Spark. Master distributed data processing, real-time streaming, machine learning on Big Data, and data visualization with industry tools like Hive, Kafka, Tableau, and AWS QuickSight. Build practical skills to become a proficient Data Engineer.","- Hadoop & HDFS
- Spark (RDDs, DataFrames, Spark SQL)
- Spark Streaming & MLlib
- Hive & Kafka Integration
- Data Visualization (Tableau, AWS QuickSight)",,,,
,Reinforcement learning (Recorded),1,"4 weeks


",Elective,,"Master the fundamentals and advanced techniques of Reinforcement Learning, from solving MDPs with Dynamic Programming to model-free methods like Q-Learning and Policy Gradients. Explore state-of-the-art algorithms (PPO, SAC, TD3), model-based approaches, imitation learning, and real-world applications in multi-agent systems and robotics. Build practical skills to develop intelligent agents.","- Markov Decision Processes (MDPs)
- Dynamic Programming (Value & Policy Iteration)
- Q-Learning & DQN
- Policy Gradients & Actor-Critic
- PPO, SAC, TD3
- Imitation Learning & Multi-Agent RL",,,,
,,,,,,,,,,,
,AI for non coders,,,,,,,,,,
,,8,32,,Module 1: AI Productivity Basics,"Most professionals spend a significant portion of their day on tasks that are repetitive, formulaic, or simply time-consuming — writing status updates, summarising meeting notes, researching before a call. This module helps you reclaim that time. You will learn how to set up AI tools that genuinely understand your role and context, so that the mundane parts of your job get handled faster and your energy goes toward work that actually requires your judgment.","● Personal Assistant
• What an AI assistant actually is vs a basic chatbot
• Setting up Claude Projects with custom instructions and project knowledge
• Setting up Custom GPTs in ChatGPT for the same purpose
• Configuring your assistant with role context, priorities and tone of voice
• Voice/text to action-items workflows for messy meeting notes
• Saving reusable starter prompts inside your assistant
• Case study: How a PM at Razorpay automated their daily standup prep with a personal assistant

● Daily Work Tools
• Email tone rewriter with selectable modes (executive, warm, direct, apologetic)
• Weekly status report generator from raw bullet points
• Meeting agenda builder from a 2-line brief
• Saving each tool as a reusable prompt template
• Measuring time saved per week
• Case study: How a consulting team at Deloitte standardized AI-assisted status updates

● Smart Research
• Competitive intelligence brief generator workflow
• Pre-meeting research tool (who you're meeting + context → questions + background)
• Document and link summarization patterns
• Intro to Deep Research workflows: OpenAI Deep Research, Gemini Deep Research, Perplexity Deep Research
• How to write a research brief that produces a great deep research output
• When deep research wins vs when a single search is enough
• Case study: How a strategy consultant used Deep Research to produce a 30-page industry report in 2 hours",,,,
,,,,,Module 2: Documents & Knowledge,"Creating documents from scratch is slow, and finding information buried across wikis, folders, and inboxes is even slower. This module teaches you to turn rough ideas into polished documents in minutes, and to build a knowledge assistant that your entire team can use to get accurate answers instantly. Whether you are a team of five or five hundred, this changes how institutional knowledge flows.","● Instant Documents
• The '20 minutes to polished' philosophy
• AI PRD from a 3-sentence idea
• Executive strategy one-pager from bullet points
• Compelling job description from role title + responsibilities
• Document templates and reuse
• Quality check before sending
• Case study: How a product lead at Flipkart cut PRD writing time from 3 days to 2 hours

● Company Q&A Bot
• Why generic AI fails on your company-specific questions
• Uploading docs to NotebookLM and Claude Projects
• Secure document analysis basics: what stays private
• Building a custom Q&A bot for your team
• Handling sources and citations
• Sharing your bot with colleagues
• Case study: How a 50-person startup replaced their internal wiki with a NotebookLM-powered Q&A bot

● AI Research Stack
• Elicit: literature search and synthesis for research-heavy work
• Consensus: AI-powered scientific paper search
• NotebookLM Audio Overviews: turning your docs into podcast-style briefings
• Perplexity Spaces: persistent research workspaces
• SciSpace and ResearchRabbit for academic-style research
• When to use which research tool
• Case study: How a healthcare consulting firm used Elicit + Consensus for a regulatory landscape analysis",,,,
,,,,,Module 3: How AI Works,"You do not need to understand the engineering behind AI to use it well — but you do need accurate mental models of what it can and cannot do. This module gives you exactly that. You will learn why AI sometimes gets things wrong, how to evaluate the tools flooding the market, and how to protect yourself and your organisation from the kinds of mistakes that tend to be costly and embarrassing in professional settings.","● AI Mental Models
• How LLMs work in plain English (3 analogies, zero math)
• Tokens, context windows and why they matter
• What AI genuinely can't do (counting, exact math, recent events without search)
• The full AI capability menu: text, image gen, vision, voice, code, structured data
• The hype filter: distinguishing capability from marketing
• Case study: A CTO who approved a $500K AI project based on a demo that couldn't actually work — how to avoid this

● Tool Landscape
• Head-to-head: ChatGPT vs Claude vs Gemini on the same task
• Real differences in style, reasoning and writing
• Specialty tools: Perplexity, Mistral, DeepSeek, Grok
• The 5-question framework for evaluating any new AI tool in 30 minutes
• Tool fatigue and how to avoid it
• Case study: How Stripe's product team standardized on a 3-model evaluation process before adopting any new AI tool

● Hallucinations & RAG
• Why hallucinations happen (next-token prediction, pattern matching)
• The 3 most common hallucination patterns in business contexts
• RAG explained simply: giving AI access to your documents
• Memory systems: ChatGPT memory, Claude memory, Mem
• Personal AI output verification checklist
• Case study: A law firm that sent a brief with hallucinated case citations — the fallout and how to prevent it",,,,
,,,,,Module 4: Context Engineering,"The single biggest difference between professionals who get great results from AI and those who are disappointed by it is how they write their prompts. This module moves you from guesswork to method. You will learn a structured approach to crafting prompts that produce consistently high-quality outputs, and you will build a reusable library that compounds in value the longer you use it.","● Two Prompt Modes
• The shift from prompt engineering to context engineering as a discipline
• Explore mode: open, divergent, creative prompting for early thinking
• Build mode: precise, format-specified, constrained prompting for execution
• Recognizing which mode your task needs
• Switching modes mid-conversation
• Case study: How a product strategist at Google uses explore mode for ideation and build mode for spec writing

● Prompt Anatomy
• The 4-part structure: Context, Instruction, Format, Constraints
• Why each part matters and what happens when you skip one
• Live before/after rewrites of 5 common business prompts
• The role of system prompts vs user prompts
• Formatting tricks that improve outputs
• Case study: How a McKinsey team improved their AI research output quality by 3x with structured context engineering

● Prompt Library
• Why a personal prompt library compounds in value
• Organizing by use case vs by tool
• 5 core templates everyone needs
• Versioning your prompts as they evolve
• Sharing prompts within a team
• Case study: How a 200-person ops team at Infosys shared a prompt library that cut onboarding time by 40%",,,,
,,,,,Module 5: Voice & Speed,"Typing is a bottleneck that most people do not notice until they stop doing it. This module introduces voice-first workflows that let you think out loud, capture ideas at speed, and run entire meetings through an AI stack that handles notes, action items, and follow-ups automatically. For people who spend their days in back-to-back meetings, this module alone tends to be transformative.","● Voice Input
• Why voice beats typing for thinking
• Setting up Wispr Flow for system-wide voice input
• Brain dump → strategy doc workflow
• Voice memo → meeting prep converter
• Replacing typing with voice for one daily task
• Case study: How a founder replaced 90 minutes of daily writing with 20 minutes of voice input

● Voice Agents
• The shift from voice input to outbound voice agents
• Vapi: building voice agents that handle real calls
• Retell AI: alternative voice agent platform
• ElevenLabs Conversational AI for natural voices
• Use cases: support triage, sales qualification, appointment scheduling
• Production considerations: latency, interruption handling, fallbacks
• Case study: How Bland.ai's customers deployed voice agents for appointment booking — what worked, what didn't

● Meeting Intelligence
• The full meeting stack overview
• Pre-meeting research brief generator
• AI note-takers compared: Granola, Otter, Fireflies, Fathom
• Post-meeting processor: notes → decisions → action items → follow-up emails
• Privacy considerations for meeting recordings
• Case study: How a VP of Product at Freshworks saved 6 hours/week with an end-to-end meeting intelligence stack",,,,
,,,,,Module 6: Connected Workspace,"AI tools that operate in isolation are useful; AI tools that are connected to your actual work environment are powerful. This module shows you how to link AI to the tools you already use — your calendar, email, documents, and communication platforms — and how to build automations that run recurring workflows without any involvement from you.","● MCP Stack
• What MCP (Model Context Protocol) actually is
• MCP as the integration standard for AI in 2026
• Building your personal MCP stack: Drive, Gmail, Calendar, Slack, Notion, GitHub
• MCP marketplaces: Composio, Zapier MCP, Smithery
• MCP security basics: what each server actually sees
• Sandboxing and permissioning your MCP servers
• Case study: How a product team connected Claude to Linear, Slack and Notion via MCP and ran standups on autopilot

● Knowledge Assistant
• Going beyond a Q&A bot: a strategic advisor that knows your company
• Loading strategy docs, playbooks and FAQs
• Designing the 'strategic advisor' persona
• Designing the 'team onboarding' persona
• Updating the knowledge base over time
• Case study: How a Series B startup built an investor-relations bot that answered board members' questions between meetings

● Workflow Automation
• The Trigger → AI Action → Result pattern
• Zapier vs Make vs n8n: which to choose when
• Connecting AI to your existing SaaS stack
• Building automations that run while you sleep
• Monitoring and debugging automations
• Case study: How a D2C brand automated their entire customer review response workflow with Make + Claude",,,,
,,,,,Module 7: Data & Systems,"Data is one of the most underleveraged assets in most organisations, largely because accessing and interpreting it has always required specialist skills. This module removes that barrier. You will learn to have genuine conversations with your data, decompose complex projects into manageable AI-executable steps, and build a clear picture of which parts of your role are candidates for delegation.","● Talk To Data
• Why spreadsheets are the highest-leverage AI use case for non-engineers
• ChatGPT Advanced Data Analysis deep dive
• Claude analysis tool deep dive
• Julius for non-technical data science
• Claude for Excel and Shortcut for in-spreadsheet AI
• Asking the right questions of your data
• Generating charts and insights via conversation
• Case study: How an ops manager at Swiggy analyzed 6 months of delivery data in 30 minutes using ChatGPT ADA

● Task Decomposition
• The decomposition framework: Big Goal → Sub-tasks → Input/Output/Acceptance Criteria
• Identifying AI-executable steps vs human-judgment steps
• Thought Partner mode (AI helps you think) vs Executor mode (AI produces output)
• Practicing decomposition on a real complex project
• Running one decomposed step live
• Case study: How a transformation lead decomposed a 6-month ERP migration into AI-assisted and human-only workstreams

● Delegation Map
• The 3-Bucket Framework: Delegate, Augment, Keep Human
• What goes in each bucket and why
• Mapping your entire job to the framework
• Using the map as a roadmap for the rest of the course
• Case study: How a Head of Ops at a logistics company mapped 47 tasks and automated 19 of them within 2 months",,,,
